rank,iap_id_2013,iap_name,price_usd,order_cnt,paying_users,distinct_servers,gross_usd,avg_ticket_usd,config_2011
1,2013510227,推币机礼包_99.99,99.99,93,18,13,9299.07,99.99,2011500297
2,2013501500,挂机BP_2025,9.99,493,493,52,4925.07,9.99,2011400373
3,2013500832,通用-预购连锁_schema6,99.99,42,42,11,4199.58,99.99,2011100520
4,2013560125,2026拓荒节-头像框4.99,4.99,806,806,71,4021.94,4.99,2011610002
5,2013560124,2026拓荒节-行军特效19.99,19.99,187,187,30,3738.13,19.99,2011610001
6,2013510220,推币机随机GACHA礼包_19.99,19.99,177,136,31,3538.23,19.99,2011500294
7,2013510222,推币机随机GACHA礼包_99.99,99.99,30,18,7,2999.7,99.99,2011500296
8,2013510536,拓荒节自选周卡-schema6-49.99,49.99,60,60,10,2999.4,49.99,2011500395
9,2013510221,推币机随机GACHA礼包_49.99,49.99,52,39,13,2599.48,49.99,2011500295
10,2013560123,2026拓荒节-行军表情4.99,4.99,474,474,43,2365.26,4.99,2011610000
11,2013500359,S6春节限时抢购礼包-99.99,99.99,21,21,10,2099.79,99.99,2011400080
12,2013500358,S6春节限时抢购礼包-49.99,49.99,41,41,20,2049.59,49.99,2011400079
13,2013501506,25感恩节每日补给升级礼包-第1天,1.99,860,860,55,1711.4,1.99,2011400452
14,2013450086,节日集卡册bp,9.99,162,162,30,1618.38,9.99,2011380052
15,2013510223,推币机礼包_4.99,4.99,323,175,39,1611.77,4.99,2011500297
16,2013450019,节日大富翁礼包13,99.99,15,15,7,1499.85,99.99,2011380014
17,2013500355,S6春节限时抢购礼包-19.99,19.99,73,73,15,1459.27,19.99,2011400076
18,2013230006,挖矿小游戏-产量翻倍特权-节日投放-分组规则-节日活动版,2.99,451,451,63,1348.49,2.99,2011230006
19,2013450037,节日大富翁礼包15,99.99,13,13,7,1299.87,99.99,2011380016
20,2013560127,2026拓荒节集结奖励解锁礼包,4.99,260,260,38,1297.4,4.99,2011800000
21,2013510224,推币机礼包_9.99,9.99,127,77,25,1268.73,9.99,2011500297
22,2013450003,节日大富翁礼包2,99.99,12,12,6,1199.88,99.99,2011380003
23,2013510226,推币机礼包_49.99,49.99,21,14,8,1049.79,49.99,2011500297
24,2013500360,S6春节限时抢购礼包-99.99,99.99,10,10,8,999.9,99.99,2011400081
25,2013559895,节日挖矿-26拓荒节关卡1-2礼包,9.99,94,94,16,939.06,9.99,2011509991
26,2013559894,节日挖矿-26拓荒节关卡1-1礼包,9.99,92,92,17,919.08,9.99,2011509990
27,2013500831,通用-预购连锁礼包_schema3-5,99.99,9,9,6,899.91,99.99,2011100519
28,2013500357,S6春节限时抢购礼包-49.99,49.99,16,16,10,799.84,49.99,2011400078
29,2013510225,推币机礼包_19.99,19.99,39,32,13,779.61,19.99,2011500297
